Origin,WeekOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
ALB,24,4,3,0,1,0
SNA,42,4,3,1,0,0
IND,26,4,2,0,2,0
LFT,24,4,0,4,0,0
DBQ,22,4,0,3,1,0
TPA,28,4,3,0,1,0
DSM,24,4,2,2,0,0
ILM,9,4,3,1,0,0
OKC,23,4,1,2,1,0
BTR,24,4,2,2,0,0
BTR,22,4,3,1,0,0
PHF,22,4,4,0,0,0
ELP,30,4,4,0,0,0
CHA,23,4,2,2,0,0
MGM,8,4,3,1,0,0
ABQ,23,4,2,2,0,0
MOD,25,4,1,0,3,0
LBB,24,4,1,3,0,0
SJU,28,4,3,0,1,0
MDT,50,4,2,2,0,0
RNO,27,4,4,0,0,0
TUL,22,4,0,3,1,0
LFT,10,4,2,2,0,0
MSY,22,4,4,0,0,0
ATW,25,4,3,0,1,0
FWA,24,4,2,2,0,0
SBN,24,4,3,0,1,0
LSE,50,4,0,4,0,0
ROA,23,4,2,1,1,0
MYR,23,4,4,0,0,0
MRY,23,4,1,3,0,0
PDX,40,4,3,1,0,0
DRO,23,4,4,0,0,0
ASE,16,4,1,3,0,0
CAK,23,4,2,2,0,0
COS,22,4,3,0,1,0
ABE,22,4,1,0,3,0
EVV,29,4,2,1,1,0
DRO,22,4,3,1,0,0
MAF,24,4,1,3,0,0
LIT,26,4,1,0,3,0
SBP,28,4,1,0,3,0
MAF,10,4,0,4,0,0
FLG,23,4,4,0,0,0
CHS,26,4,1,1,2,0
TUS,12,4,4,0,0,0
GPT,24,4,1,3,0,0
BFL,22,4,2,0,2,0
CAK,14,4,1,0,3,0
TUS,22,4,4,0,0,0
ONT,22,4,2,1,1,0
TWF,51,4,0,4,0,0
LIT,17,4,2,2,0,0
EVV,21,4,1,1,2,0
FSM,21,4,1,3,0,0
MDT,23,4,2,0,2,0
TXK,33,4,2,2,0,0
PSP,7,4,2,0,2,0
MDW,23,4,4,0,0,0
SGF,26,4,3,0,1,0
ORF,21,4,3,1,0,0
CLE,20,4,3,0,1,0
CVG,20,4,3,0,1,0
HNL,6,4,4,0,0,0
FWA,21,4,1,1,2,0
PDX,20,4,4,0,0,0
XNA,25,4,3,1,0,0
FWA,25,4,1,0,3,0
SGF,28,4,4,0,0,0
CID,21,4,0,1,3,0
ASE,21,4,1,3,0,0
SYR,27,4,2,1,1,0
SBP,43,4,0,3,1,0
TVC,25,4,1,1,2,0
SDF,26,4,1,0,3,0
SBA,28,4,1,0,3,0
SAT,18,4,2,2,0,0
MOB,27,4,1,1,2,0
LAN,17,4,1,1,2,0
BDL,20,4,2,0,2,0
OTZ,20,4,4,0,0,0
SPS,21,4,0,3,1,0
CHS,18,4,0,3,1,0
OKC,24,4,1,3,0,0
ALB,19,4,3,0,1,0
VPS,22,4,2,1,1,0
XNA,19,4,2,0,2,0
MRY,36,4,3,0,1,0
ACV,52,4,0,4,0,0
ELP,19,4,3,1,0,0
PVD,18,4,3,0,1,0
BTR,14,4,1,3,0,0
MRY,32,4,0,4,0,0
GFK,23,4,3,1,0,0
CAK,27,4,1,1,2,0
JAN,25,4,2,1,1,0
JAN,23,4,2,0,2,0
MDT,31,4,2,1,1,0
LIH,45,4,4,0,0,0
BMI,12,4,0,1,3,0
PDX,28,4,4,0,0,0
TVC,36,4,1,0,3,0
SJU,15,4,4,0,0,0
JAX,39,4,3,0,1,0
TUL,17,4,1,1,2,0
MDT,29,4,4,0,0,0
YUM,21,4,4,0,0,0
CMI,17,4,0,2,2,0
RNO,34,4,3,1,0,0
TPA,47,4,4,0,0,0
MLB,12,4,4,0,0,0
PHF,27,4,0,2,2,0
LBB,14,4,1,2,1,0
ABI,14,4,1,3,0,0
MLI,15,4,2,1,1,0
AGS,13,4,1,2,1,0
ITO,14,4,4,0,0,0
RNO,16,4,4,0,0,0
CID,45,4,2,1,1,0
XNA,40,4,4,0,0,0
AMA,14,4,2,1,1,0
PFN,45,4,4,0,0,0
HPN,16,4,0,1,3,0
MCO,41,4,3,1,0,0
FLL,28,4,3,0,1,0
AZO,21,4,2,0,2,0
LSE,23,4,2,2,0,0
ISP,5,4,0,4,0,0
JAX,18,4,2,1,1,0
IYK,14,4,3,1,0,0
FSD,17,4,3,0,1,0
SYR,12,4,2,0,2,0
TVC,17,4,1,0,3,0
JNU,45,4,1,3,0,0
PSE,5,4,2,2,0,0
OKC,16,4,3,0,1,0
BUF,16,4,2,1,1,0
ALB,11,4,3,1,0,0
GRB,18,4,1,0,3,0
AVP,16,4,1,0,3,0
EVV,23,4,0,2,2,0
CAK,16,4,3,0,1,0
YUM,15,4,4,0,0,0
FAT,46,4,1,3,0,0
BMI,14,4,1,0,3,0
EGE,14,4,1,3,0,0
TPA,15,4,3,1,0,0
SPI,14,4,0,0,4,0
LIH,4,4,4,0,0,0
PNS,13,4,2,2,0,0
CAK,29,4,2,1,1,0
BTV,17,4,0,2,2,0
GRR,15,4,3,0,1,0
LIT,21,4,0,2,2,0
BTV,14,4,1,2,1,0
FAT,16,4,4,0,0,0
GEG,16,4,4,0,0,0
ELP,12,4,4,0,0,0
PBI,26,4,4,0,0,0
SMF,17,4,3,1,0,0
SBN,28,4,2,0,2,0
SHV,17,4,2,2,0,0
BHM,17,4,2,0,2,0
FLL,16,4,3,1,0,0
TYS,17,4,2,2,0,0
WRG,51,4,2,2,0,0
SBA,27,4,3,0,1,0
MDW,14,4,3,1,0,0
PWM,52,4,0,4,0,0
BUF,43,4,2,1,1,0
LGB,9,4,3,1,0,0
GSO,38,4,2,1,1,0
PDX,16,4,3,1,0,0
TOL,11,4,1,3,0,0
CMI,13,4,0,2,2,0
SAT,39,4,4,0,0,0
TXK,11,4,2,2,0,0
FAR,8,4,1,0,3,0
GSP,19,4,0,2,2,0
LSE,0,4,0,4,0,0
TRI,13,4,1,0,3,0
TRI,9,4,2,2,0,0
AVP,9,4,2,1,1,0
ROC,12,4,2,1,1,0
PNS,12,4,4,0,0,0
YUM,25,4,4,0,0,0
MFE,24,4,2,2,0,0
CRW,8,4,2,0,2,0
PVD,14,4,0,2,2,0
ABQ,12,4,4,0,0,0
LBB,10,4,0,4,0,0
IDA,12,4,3,1,0,0
LAN,12,4,0,1,3,0
SRQ,5,4,2,2,0,0
MRY,51,4,2,0,2,0
PWM,26,4,1,3,0,0
SUN,10,4,1,3,0,0
RNO,17,4,1,3,0,0
CID,44,4,3,0,1,0
ACT,24,4,1,3,0,0
FAT,43,4,2,2,0,0
STT,41,4,2,2,0,0
SMF,38,4,3,1,0,0
BMI,52,4,0,3,1,0
RIC,20,4,2,0,2,0
LYH,2,4,1,3,0,0
MSN,10,4,3,1,0,0
EGE,11,4,0,4,0,0
DRO,11,4,3,1,0,0
CAK,25,4,0,0,4,0
VPS,3,4,0,3,1,0
CSG,2,4,0,4,0,0
SJU,50,4,2,2,0,0
GPT,45,4,0,0,4,0
FSD,9,4,2,1,1,0
GRR,21,4,1,1,2,0
HOU,24,4,0,3,1,0
RSW,13,4,1,2,1,0
GPT,10,4,2,2,0,0
PHL,34,4,2,1,1,0
LRD,11,4,0,4,0,0
FLG,9,4,4,0,0,0
LRD,9,4,0,4,0,0
ADQ,26,4,0,4,0,0
IDA,4,4,0,4,0,0
BZN,51,4,2,1,1,0
LCH,9,4,1,3,0,0
LIH,9,4,4,0,0,0
LEX,17,4,2,1,1,0
CVG,39,4,1,2,1,0
DAY,10,4,2,2,0,0
ABQ,41,4,2,2,0,0
MLI,52,4,1,3,0,0
MQT,2,4,1,3,0,0
TYR,11,4,0,4,0,0
ACK,27,4,0,3,1,0
BGR,32,4,2,1,1,0
ABI,11,4,0,4,0,0
PIA,18,4,1,1,2,0
YUM,22,4,4,0,0,0
KTN,5,4,1,3,0,0
ELM,8,4,1,1,2,0
SEA,37,4,3,1,0,0
LAN,9,4,3,1,0,0
DBQ,8,4,0,2,2,0
SHV,7,4,4,0,0,0
SCE,9,4,3,1,0,0
SHV,5,4,1,3,0,0
CMH,43,4,2,0,2,0
SBN,14,4,1,0,3,0
MDW,43,4,3,0,1,0
SAT,20,4,4,0,0,0
PHF,8,4,3,1,0,0
LFT,19,4,1,2,1,0
OMA,19,4,1,1,2,0
MEM,46,4,4,0,0,0
BHM,48,4,1,2,1,0
ROA,32,4,4,0,0,0
BMI,9,4,3,0,1,0
FNT,8,4,1,2,1,0
CHA,6,4,3,0,1,0
ISP,7,4,0,4,0,0
OGG,6,4,4,0,0,0
SUN,7,4,1,3,0,0
SJU,41,4,0,4,0,0
PSP,12,4,2,1,1,0
CIC,7,4,0,0,4,0
MOD,7,4,0,0,4,0
BTV,0,4,3,0,1,0
ELP,3,4,2,2,0,0
PHL,42,4,4,0,0,0
TXK,9,4,1,3,0,0
BTV,49,4,2,2,0,0
AVP,3,4,2,1,1,0
BZN,8,4,1,3,0,0
ONT,33,4,4,0,0,0
SYR,14,4,2,1,1,0
HDN,5,4,0,3,1,0
TYS,8,4,2,2,0,0
HNL,3,4,4,0,0,0
SBP,5,4,2,1,1,0
JAN,7,4,1,3,0,0
SUX,0,4,4,0,0,0
HDN,8,4,1,2,1,0
TLH,26,4,3,0,1,0
PNS,8,4,3,0,1,0
TEX,7,4,1,3,0,0
BHM,10,4,1,3,0,0
SBP,7,4,1,1,2,0
EGE,6,4,1,3,0,0
MSO,48,4,0,4,0,0
PSP,5,4,1,3,0,0
PLN,2,4,0,2,2,0
STT,7,4,2,2,0,0
ROC,52,4,1,3,0,0
OMA,24,4,1,1,2,0
TEX,0,4,0,2,2,0
SAV,46,4,4,0,0,0
GPT,30,4,3,0,1,0
MSY,5,4,0,4,0,0
PIH,6,4,1,3,0,0
PDX,24,4,2,2,0,0
VPS,7,4,1,3,0,0
EGE,13,4,3,0,1,0
OAJ,2,4,0,4,0,0
CEC,0,4,0,2,2,0
MYR,22,4,1,1,2,0
OKC,10,4,4,0,0,0
TYS,37,4,3,0,1,0
GPT,6,4,1,3,0,0
FAI,2,4,4,0,0,0
MRY,27,4,2,1,1,0
LAN,13,4,1,1,2,0
HHH,13,4,1,2,1,0
MSY,1,4,4,0,0,0
BHM,45,4,1,2,1,0
FSD,3,4,1,0,3,0
GRR,45,4,3,0,1,0
RST,9,4,2,0,2,0
AEX,3,4,0,4,0,0
JAX,43,4,2,2,0,0
FSM,2,4,2,2,0,0
SJU,23,4,3,1,0,0
MDW,15,4,3,0,1,0
MOB,8,4,3,1,0,0
BFL,3,4,1,0,3,0
LGB,4,4,3,1,0,0
HRL,49,4,3,1,0,0
FLL,0,4,3,0,1,0
SAV,37,4,2,2,0,0
MYR,1,4,4,0,0,0
DSM,19,4,4,0,0,0
MSN,29,4,1,1,2,0
IND,46,4,4,0,0,0
TLH,11,4,3,1,0,0
XNA,44,4,3,0,1,0
BGR,9,4,0,4,0,0
BUF,28,4,3,1,0,0
CLE,35,4,2,1,1,0
SWF,11,4,3,0,1,0
LEX,52,4,4,0,0,0
PIA,23,4,1,1,2,0
ALB,44,4,1,1,2,0
ALB,16,4,3,1,0,0
TVC,24,4,1,0,3,0
CHA,1,4,0,3,1,0
FNT,1,4,2,1,1,0
CMI,3,4,0,0,4,0
SHV,35,4,0,4,0,0
CRW,2,4,1,3,0,0
CRP,3,4,0,4,0,0
FSM,13,4,1,2,1,0
SJU,8,4,2,2,0,0
MHT,46,4,4,0,0,0
MHT,48,4,2,0,2,0
FWA,14,4,1,0,3,0
ACV,2,4,0,3,1,0
MGM,2,4,0,4,0,0
HRL,5,4,2,2,0,0
COS,2,4,2,2,0,0
TOL,2,4,0,2,2,0
LBB,21,4,0,1,3,0
PIA,9,4,0,1,3,0
FNT,34,4,1,0,3,0
MCN,2,4,0,4,0,0
BHM,34,4,0,1,3,0
OGG,2,4,4,0,0,0
MLI,23,4,0,3,1,0
LEX,2,4,0,3,1,0
CMI,31,4,0,1,3,0
JNU,32,4,2,2,0,0
LRD,3,4,0,4,0,0
SAV,33,4,4,0,0,0
ROA,17,4,3,0,1,0
FAT,4,4,1,1,2,0
YUM,8,4,4,0,0,0
MTJ,51,4,0,2,2,0
OTZ,2,4,1,3,0,0
JAC,3,4,1,3,0,0
MBS,52,4,2,2,0,0
CRP,9,4,0,4,0,0
YUM,24,4,4,0,0,0
FAR,11,4,2,0,2,0
PDX,12,4,4,0,0,0
TUL,27,4,1,2,1,0
RST,2,4,2,0,2,0
MDT,22,4,0,2,2,0
RDD,1,4,0,0,4,0
MDT,0,4,3,1,0,0
KOA,30,4,4,0,0,0
BZN,49,4,1,3,0,0
SDF,0,4,3,1,0,0
OKC,32,4,2,0,2,0
ANC,8,4,3,0,1,0
FWA,52,4,2,2,0,0
BUR,10,4,4,0,0,0
GJT,4,4,2,2,0,0
CLD,48,4,0,4,0,0
BGM,5,4,1,3,0,0
RSW,30,4,3,1,0,0
FAT,0,4,0,1,3,0
TUL,21,4,0,3,1,0
TUS,3,4,4,0,0,0
MQT,4,4,1,3,0,0
ROA,1,4,2,2,0,0
PSP,16,4,4,0,0,0
MQT,1,4,0,3,1,0
AVP,7,4,1,3,0,0
HNL,24,4,4,0,0,0
MTJ,2,4,1,1,2,0
CAK,1,4,1,0,3,0
BIS,22,4,1,1,2,0
VPS,49,4,0,2,2,0
GRB,49,4,0,2,2,0
MBS,0,4,1,2,1,0
CAK,0,4,3,1,0,0
BUF,21,4,0,3,1,0
ROC,10,4,2,1,1,0
FAI,12,4,4,0,0,0
MHT,3,4,3,1,0,0
PBI,27,4,3,1,0,0
MBS,16,4,2,0,2,0
CAE,30,4,1,1,2,0
GRB,26,4,2,0,2,0
ISP,35,4,0,4,0,0
MRY,30,4,3,1,0,0
JAX,12,4,4,0,0,0
HPN,25,4,1,0,3,0
XNA,43,4,4,0,0,0
VPS,6,4,0,3,1,0
TUS,23,4,3,1,0,0
SJU,49,4,4,0,0,0
CPR,4,4,3,1,0,0
PFN,50,4,0,4,0,0
CRP,10,4,2,2,0,0
GEG,1,4,1,3,0,0
MDW,40,4,4,0,0,0
PVD,3,4,3,0,1,0
KTN,2,4,2,2,0,0
SPI,16,4,2,0,2,0
RNO,5,4,3,1,0,0
ATW,12,4,0,1,3,0
RNO,23,4,4,0,0,0
ATW,13,4,1,1,2,0
LAN,26,4,2,2,0,0
ORF,49,4,2,0,2,0
DBQ,49,4,0,3,1,0
EGE,1,4,1,2,1,0
HNL,26,4,4,0,0,0
PNS,19,4,1,3,0,0
LSE,8,4,0,1,3,0
RDD,3,4,0,0,4,0
ACT,10,4,2,2,0,0
DLH,51,3,3,0,0,0
MOT,50,3,1,2,0,0
FNT,49,3,1,0,2,0
MQT,52,3,0,3,0,0
TRI,49,3,0,0,3,0
SWF,49,3,0,3,0,0
HNL,52,3,3,0,0,0
ILM,52,3,1,2,0,0
TWF,52,3,0,3,0,0
LNK,50,3,1,1,1,0
BTR,51,3,2,1,0,0
MOD,50,3,0,1,2,0
RDD,48,3,0,2,1,0
PSC,51,3,1,2,0,0
VPS,52,3,3,0,0,0
ACV,49,3,2,1,0,0
JNU,49,3,3,0,0,0
TUS,51,3,1,2,0,0
ITO,51,3,3,0,0,0
ROA,51,3,2,0,1,0
COD,51,3,1,2,0,0
FLG,50,3,0,3,0,0
HSV,48,3,3,0,0,0
JAX,48,3,1,1,1,0
PVD,48,3,2,1,0,0
COS,49,3,1,2,0,0
MFE,50,3,1,1,1,0
HRL,52,3,2,1,0,0
AMA,50,3,0,2,1,0
ELP,49,3,2,1,0,0
FAI,46,3,3,0,0,0
SAT,45,3,1,2,0,0
EVV,45,3,3,0,0,0
ALO,45,3,2,1,0,0
MOT,44,3,0,2,1,0
TOL,48,3,0,0,3,0
TUL,44,3,3,0,0,0
SGF,46,3,3,0,0,0
BTR,45,3,0,1,2,0
CAE,47,3,3,0,0,0
LIT,45,3,1,0,2,0
LMT,50,3,0,2,1,0
LAN,48,3,0,1,2,0
GRB,44,3,0,1,2,0
PIA,44,3,1,0,2,0
SBN,45,3,2,0,1,0
CAK,45,3,1,0,2,0
MOD,44,3,2,0,1,0
CLD,46,3,0,3,0,0
SAV,44,3,2,1,0,0
PIT,44,3,2,0,1,0
TYS,46,3,3,0,0,0
MKE,46,3,3,0,0,0
MLI,45,3,2,0,1,0
BHM,44,3,1,0,2,0
GSO,44,3,1,1,1,0
RIC,44,3,0,1,2,0
OMA,45,3,2,0,1,0
DAY,48,3,1,1,1,0
ALB,48,3,2,1,0,0
BWI,47,3,2,1,0,0
SAT,46,3,3,0,0,0
HRL,46,3,3,0,0,0
MHT,45,3,1,1,1,0
SMF,45,3,1,1,1,0
LBB,45,3,3,0,0,0
JAX,44,3,1,1,1,0
JNU,43,3,2,1,0,0
FAI,42,3,3,0,0,0
AUS,39,3,3,0,0,0
BWI,43,3,2,0,1,0
BDL,42,3,3,0,0,0
GRR,41,3,1,0,2,0
SUN,40,3,0,3,0,0
MSN,43,3,2,0,1,0
MSN,41,3,2,0,1,0
MEM,40,3,3,0,0,0
SEA,41,3,3,0,0,0
GEG,43,3,3,0,0,0
CLE,42,3,1,2,0,0
BUF,42,3,1,2,0,0
HNL,43,3,2,1,0,0
BHM,42,3,3,0,0,0
SYR,41,3,3,0,0,0
RKS,41,3,1,2,0,0
AUS,40,3,3,0,0,0
EWR,40,3,3,0,0,0
OGG,39,3,3,0,0,0
BNA,39,3,3,0,0,0
MCI,41,3,2,1,0,0
MFE,42,3,2,1,0,0
OKC,42,3,1,1,1,0
OGG,46,3,3,0,0,0
BHM,43,3,2,1,0,0
ONT,43,3,3,0,0,0
PIT,41,3,3,0,0,0
BUR,41,3,3,0,0,0
JAX,40,3,3,0,0,0
STL,38,3,2,0,1,0
JFK,39,3,3,0,0,0
GRR,38,3,3,0,0,0
PIA,36,3,1,1,1,0
TYR,36,3,0,3,0,0
CAK,49,3,0,1,2,0
GEG,39,3,3,0,0,0
TUS,47,3,3,0,0,0
BDL,38,3,2,0,1,0
SYR,37,3,2,1,0,0
SYR,36,3,1,2,0,0
PBI,35,3,1,2,0,0
ALO,49,3,2,0,1,0
FWA,44,3,2,0,1,0
BWI,38,3,3,0,0,0
ICT,38,3,3,0,0,0
SBA,38,3,2,1,0,0
ELP,39,3,3,0,0,0
LAN,36,3,0,1,2,0
SPI,36,3,1,0,2,0
SBA,36,3,3,0,0,0
TYS,35,3,0,1,2,0
AZO,35,3,1,0,2,0
TVC,49,3,0,2,1,0
GFK,50,3,0,3,0,0
YUM,35,3,2,0,0,1
BUF,36,3,0,2,1,0
BMI,38,3,3,0,0,0
ORF,37,3,3,0,0,0
HRL,50,3,3,0,0,0
SBN,35,3,2,0,1,0
GRB,35,3,0,0,3,0
IND,37,3,1,2,0,0
XNA,37,3,0,3,0,0
CAE,36,3,0,1,2,0
COS,37,3,2,1,0,0
MKE,38,3,2,0,1,0
OMA,38,3,1,0,2,0
MCI,37,3,2,1,0,0
MDW,38,3,3,0,0,0
MHT,37,3,1,2,0,0
ONT,37,3,3,0,0,0
AMA,37,3,2,1,0,0
RSW,35,3,0,3,0,0
SMF,35,3,3,0,0,0
OKC,35,3,2,0,1,0
ANC,33,3,2,1,0,0
RNO,39,3,3,0,0,0
OME,31,3,1,2,0,0
ELP,32,3,2,0,1,0
TOL,31,3,0,1,2,0
DBQ,31,3,0,2,1,0
ROC,33,3,2,1,0,0
VPS,34,3,1,0,2,0
AGS,34,3,0,0,3,0
PFN,34,3,2,1,0,0
MGM,34,3,1,1,1,0
TRI,34,3,1,0,2,0
DAY,34,3,1,0,2,0
GSP,34,3,0,1,2,0
SJU,31,3,2,0,1,0
MSP,33,3,3,0,0,0
SJC,33,3,3,0,0,0
SUN,34,3,1,2,0,0
BMI,33,3,2,0,1,0
MRY,33,3,1,2,0,0
CHS,43,3,2,0,1,0
ACV,32,3,2,1,0,0
FCA,50,3,2,1,0,0
MRY,31,3,1,2,0,0
BGR,31,3,1,2,0,0
TUS,43,3,3,0,0,0
IAD,40,3,2,1,0,0
LIH,32,3,3,0,0,0
MYR,32,3,3,0,0,0
GPT,48,3,3,0,0,0
SPI,31,3,1,0,2,0
OKC,33,3,2,1,0,0
VPS,31,3,1,2,0,0
GPT,33,3,2,1,0,0
PNS,32,3,1,2,0,0
JAN,32,3,1,2,0,0
OMA,34,3,1,1,1,0
BTR,32,3,0,3,0,0
CLE,33,3,2,1,0,0
PSP,49,3,3,0,0,0
HSV,33,3,1,1,1,0
PNS,31,3,1,2,0,0
LIT,32,3,0,3,0,0
CLL,31,3,1,2,0,0
MAF,31,3,0,3,0,0
BIS,50,3,2,1,0,0
OKC,34,3,3,0,0,0
TUS,34,3,3,0,0,0
MDW,34,3,2,0,1,0
LBB,33,3,2,0,1,0
TLH,50,3,3,0,0,0
ORF,33,3,1,1,1,0
MCI,39,3,3,0,0,0
MLI,46,3,3,0,0,0
CRP,31,3,1,2,0,0
BRW,26,3,1,2,0,0
COS,30,3,3,0,0,0
AZO,28,3,1,0,2,0
PIA,29,3,1,1,1,0
MQT,27,3,1,2,0,0
CMI,28,3,2,0,1,0
FSM,30,3,3,0,0,0
TYS,30,3,3,0,0,0
AMA,31,3,2,1,0,0
EVV,26,3,0,1,2,0
ANC,1,3,2,1,0,0
LIT,0,3,0,2,1,0
MGM,28,3,2,0,1,0
FAY,27,3,0,0,3,0
CRW,27,3,0,0,3,0
OGG,26,3,3,0,0,0
TVC,30,3,1,0,2,0
ATW,30,3,2,0,1,0
GSO,12,3,3,0,0,0
TYS,47,3,3,0,0,0
RDD,29,3,2,0,1,0
ACV,29,3,1,0,2,0
SPS,7,3,3,0,0,0
BIL,28,3,3,0,0,0
GRR,28,3,2,0,1,0
FSD,27,3,2,0,1,0
ACV,27,3,2,1,0,0
LAW,21,3,0,1,2,0
AGS,8,3,2,1,0,0
LAN,15,3,1,0,2,0
BTV,26,3,1,1,1,0
BTV,27,3,1,2,0,0
ILM,27,3,0,2,1,0
MLI,28,3,1,1,1,0
TVC,28,3,2,0,1,0
EUG,28,3,3,0,0,0
ELP,27,3,2,0,1,0
DAL,26,3,2,0,1,0
SPI,27,3,0,1,2,0
SBN,26,3,2,0,1,0
YUM,26,3,3,0,0,0
MBS,26,3,2,0,1,0
LIT,29,3,1,0,2,0
MLU,29,3,1,1,1,0
BGR,29,3,1,1,1,0
RNO,52,3,2,1,0,0
FLG,27,3,2,0,1,0
MHT,28,3,1,0,2,0
LEX,28,3,2,0,1,0
BGR,30,3,0,1,2,0
JAC,11,3,1,2,0,0
EUG,27,3,2,0,1,0
DSM,26,3,2,0,1,0
ONT,28,3,3,0,0,0
CRP,51,3,0,2,1,0
BDL,26,3,2,0,1,0
ONT,40,3,3,0,0,0
CMI,23,3,1,0,2,0
DHN,51,3,1,0,2,0
LIH,24,3,3,0,0,0
LBB,25,3,1,0,2,0
MAF,23,3,2,1,0,0
PIA,30,3,1,0,2,0
PHF,24,3,2,0,1,0
ASE,35,3,1,2,0,0
SPS,22,3,3,0,0,0
JAC,23,3,3,0,0,0
CLE,44,3,1,2,0,0
CRW,25,3,2,1,0,0
ACV,25,3,1,1,1,0
OKC,28,3,1,0,2,0
DRO,50,3,0,2,1,0
LNK,23,3,1,2,0,0
IYK,22,3,2,1,0,0
ROC,48,3,1,1,1,0
CPR,2,3,3,0,0,0
ADQ,16,3,0,3,0,0
LSE,48,3,1,0,2,0
MFR,22,3,2,1,0,0
TYS,25,3,2,1,0,0
MGM,9,3,1,0,2,0
ILM,23,3,2,1,0,0
BGR,22,3,1,2,0,0
SBP,26,3,0,2,1,0
ROA,26,3,1,0,2,0
MFR,25,3,1,0,2,0
HRL,42,3,3,0,0,0
YUM,31,3,3,0,0,0
LAN,25,3,1,2,0,0
TUS,24,3,1,2,0,0
PFN,51,3,2,0,1,0
ILM,30,3,2,1,0,0
GRB,30,3,1,1,1,0
ATW,36,3,1,0,2,0
MBS,23,3,1,0,2,0
FAT,23,3,3,0,0,0
GSO,28,3,3,0,0,0
ALB,22,3,1,1,1,0
TVC,27,3,0,1,2,0
LEX,24,3,2,0,1,0
TUS,25,3,1,2,0,0
TUL,26,3,1,0,2,0
GRR,26,3,0,2,1,0
RDM,3,3,1,1,1,0
MLI,19,3,3,0,0,0
SCE,2,3,1,2,0,0
LEX,25,3,1,1,1,0
ANC,23,3,3,0,0,0
MFE,25,3,0,3,0,0
DAB,27,3,1,0,2,0
GCC,22,3,3,0,0,0
MGM,4,3,3,0,0,0
JAC,8,3,0,1,2,0
BUF,41,3,3,0,0,0
LEX,32,3,1,1,1,0
MSY,23,3,3,0,0,0
SMF,24,3,1,2,0,0
CAK,52,3,3,0,0,0
OKC,26,3,3,0,0,0
SPI,23,3,1,0,2,0
SEA,19,3,3,0,0,0
SMF,21,3,1,2,0,0
ELP,21,3,0,3,0,0
ELP,10,3,3,0,0,0
VPS,21,3,0,1,2,0
GGG,35,3,0,3,0,0
PNS,21,3,0,1,2,0
MYR,25,3,2,0,1,0
FSM,18,3,1,2,0,0
BDL,37,3,3,0,0,0
DRO,8,3,2,1,0,0
LAW,18,3,0,3,0,0
SJT,21,3,1,1,1,0
RSW,24,3,1,1,1,0
SDF,34,3,1,0,2,0
LIH,21,3,3,0,0,0
TLH,20,3,3,0,0,0
DTW,20,3,1,0,2,0
ADQ,48,3,1,2,0,0
COS,21,3,2,1,0,0
MDT,46,3,3,0,0,0
SMF,20,3,3,0,0,0
IYK,0,3,2,0,1,0
TYS,21,3,0,2,1,0
CMH,20,3,3,0,0,0
PSP,21,3,2,1,0,0
MYR,21,3,3,0,0,0
MBS,21,3,2,0,1,0
GRK,45,3,2,1,0,0
BMI,21,3,0,1,2,0
ATW,21,3,1,0,2,0
TVC,14,3,3,0,0,0
ALB,13,3,2,0,1,0
COS,47,3,3,0,0,0
FLG,20,3,1,2,0,0
PSP,19,3,3,0,0,0
PNS,18,3,2,1,0,0
MDT,18,3,1,0,2,0
LAN,18,3,1,0,2,0
FSD,18,3,2,0,1,0
MBS,17,3,0,1,2,0
PWM,21,3,1,1,1,0
ORF,19,3,2,1,0,0
AMA,21,3,0,2,1,0
BUF,35,3,2,1,0,0
CRW,17,3,1,1,1,0
ATW,32,3,3,0,0,0
GGG,9,3,0,3,0,0
GSO,37,3,2,1,0,0
JAX,47,3,3,0,0,0
PWM,19,3,1,0,2,0
HOU,26,3,2,1,0,0
MDW,20,3,3,0,0,0
ONT,38,3,2,1,0,0
MSN,30,3,2,0,1,0
CEC,7,3,1,0,2,0
XNA,28,3,2,0,1,0
BRO,31,3,0,3,0,0
TUS,18,3,2,1,0,0
SDF,24,3,1,2,0,0
ITH,51,3,2,1,0,0
GSO,41,3,3,0,0,0
RIC,21,3,1,1,1,0
FAI,15,3,3,0,0,0
MLI,35,3,0,0,3,0
ANC,14,3,3,0,0,0
BRW,14,3,1,2,0,0
FAI,14,3,3,0,0,0
PDX,13,3,2,1,0,0
STL,39,3,3,0,0,0
TLH,17,3,1,0,2,0
BTV,1,3,0,2,1,0
CMX,14,3,2,1,0,0
ALO,50,3,2,0,1,0
MOB,10,3,1,2,0,0
BGR,28,3,1,2,0,0
DSM,15,3,2,1,0,0
LSE,49,3,0,1,2,0
MDT,17,3,2,0,1,0
CHS,14,3,2,0,1,0
LSE,31,3,0,2,1,0
TYS,16,3,2,1,0,0
SHV,15,3,1,2,0,0
GRK,21,3,0,1,2,0
OGG,15,3,3,0,0,0
TPA,17,3,1,1,1,0
ACV,46,3,1,2,0,0
PFN,13,3,1,2,0,0
KOA,17,3,3,0,0,0
ELP,8,3,2,1,0,0
PVD,37,3,3,0,0,0
BTR,15,3,1,2,0,0
LIH,15,3,1,0,2,0
BDL,15,3,2,0,1,0
ROC,15,3,3,0,0,0
BNA,40,3,2,1,0,0
CHA,52,3,3,0,0,0
ACT,4,3,0,2,1,0
SGU,15,3,0,3,0,0
